image_path,true_label,pred_label,probability,true_class,pred_class,correct,confidence
c:\Users\Ammad\Documents\Projects\Personal\Brain\data\processed\test\BreastHisto\9125_idx5_x1501_y1801_class1.png,1.0,1.0,0.9999987,BreastHisto,BreastHisto,True,0.9999987
c:\Users\Ammad\Documents\Projects\Personal\Brain\data\processed\test\BreastHisto\14157_idx5_x2701_y951_class0.png,1.0,1.0,0.9999105,BreastHisto,BreastHisto,True,0.9999105
c:\Users\Ammad\Documents\Projects\Personal\Brain\data\processed\test\MRI\pt-834.jpg,0.0,0.0,5.236564e-09,MRI,MRI,True,1.0
c:\Users\Ammad\Documents\Projects\Personal\Brain\data\processed\test\MRI\pt-881.jpg,0.0,0.0,1.6087476e-08,MRI,MRI,True,1.0
c:\Users\Ammad\Documents\Projects\Personal\Brain\data\processed\test\BreastHisto\10264_idx5_x2301_y151_class0.png,1.0,1.0,1.0,BreastHisto,BreastHisto,True,1.0
c:\Users\Ammad\Documents\Projects\Personal\Brain\data\processed\test\BreastHisto\13025_idx5_x2451_y551_class1.png,1.0,1.0,0.99998176,BreastHisto,BreastHisto,True,0.99998176
c:\Users\Ammad\Documents\Projects\Personal\Brain\data\processed\test\BreastHisto\13613_idx5_x1851_y1501_class1.png,1.0,1.0,0.99999917,BreastHisto,BreastHisto,True,0.99999917
c:\Users\Ammad\Documents\Projects\Personal\Brain\data\processed\test\MRI\pt-504.jpg,0.0,0.0,2.0324608e-08,MRI,MRI,True,1.0
c:\Users\Ammad\Documents\Projects\Personal\Brain\data\processed\test\MRI\mt-374.jpg,0.0,0.0,1.7499433e-08,MRI,MRI,True,1.0
c:\Users\Ammad\Documents\Projects\Personal\Brain\data\processed\test\BreastHisto\12818_idx5_x2351_y1301_class1.png,1.0,1.0,0.99995947,BreastHisto,BreastHisto,True,0.99995947
c:\Users\Ammad\Documents\Projects\Personal\Brain\data\processed\test\BreastHisto\9043_idx5_x3201_y751_class1.png,1.0,1.0,0.99999857,BreastHisto,BreastHisto,True,0.99999857
c:\Users\Ammad\Documents\Projects\Personal\Brain\data\processed\test\MRI\nt-12.jpg,0.0,0.0,1.8357445e-08,MRI,MRI,True,1.0
c:\Users\Ammad\Documents\Projects\Personal\Brain\data\processed\test\BreastHisto\12908_idx5_x2551_y1301_class0.png,1.0,1.0,0.9999989,BreastHisto,BreastHisto,True,0.9999989
c:\Users\Ammad\Documents\Projects\Personal\Brain\data\processed\test\BreastHisto\15473_idx5_x2201_y1151_class1.png,1.0,1.0,0.99999905,BreastHisto,BreastHisto,True,0.99999905
c:\Users\Ammad\Documents\Projects\Personal\Brain\data\processed\test\MRI\gt-606.jpg,0.0,0.0,3.5843877e-09,MRI,MRI,True,1.0
c:\Users\Ammad\Documents\Projects\Personal\Brain\data\processed\test\BreastHisto\16570_idx5_x1401_y401_class0.png,1.0,1.0,0.9998598,BreastHisto,BreastHisto,True,0.9998598
c:\Users\Ammad\Documents\Projects\Personal\Brain\data\processed\test\BreastHisto\9256_idx5_x2601_y1201_class1.png,1.0,1.0,0.999992,BreastHisto,BreastHisto,True,0.999992
c:\Users\Ammad\Documents\Projects\Personal\Brain\data\processed\test\BreastHisto\12906_idx5_x1851_y2401_class1.png,1.0,1.0,0.999995,BreastHisto,BreastHisto,True,0.999995
c:\Users\Ammad\Documents\Projects\Personal\Brain\data\processed\test\MRI\mt-3.jpg,0.0,0.0,1.0404188e-07,MRI,MRI,True,0.9999999
c:\Users\Ammad\Documents\Projects\Personal\Brain\data\processed\test\BreastHisto\12934_idx5_x2751_y1601_class1.png,1.0,1.0,1.0,BreastHisto,BreastHisto,True,1.0
c:\Users\Ammad\Documents\Projects\Personal\Brain\data\processed\test\MRI\nt-143.jpg,0.0,0.0,8.170942e-11,MRI,MRI,True,1.0
c:\Users\Ammad\Documents\Projects\Personal\Brain\data\processed\test\BreastHisto\12869_idx5_x1251_y2051_class0.png,1.0,1.0,0.9999964,BreastHisto,BreastHisto,True,0.9999964
c:\Users\Ammad\Documents\Projects\Personal\Brain\data\processed\test\BreastHisto\9176_idx5_x1851_y1901_class1.png,1.0,1.0,0.99996066,BreastHisto,BreastHisto,True,0.99996066
c:\Users\Ammad\Documents\Projects\Personal\Brain\data\processed\test\MRI\mt-585.jpg,0.0,0.0,3.3866532e-09,MRI,MRI,True,1.0
c:\Users\Ammad\Documents\Projects\Personal\Brain\data\processed\test\BreastHisto\9178_idx5_x1751_y351_class0.png,1.0,1.0,0.9999429,BreastHisto,BreastHisto,True,0.9999429
c:\Users\Ammad\Documents\Projects\Personal\Brain\data\processed\test\BreastHisto\8914_idx5_x1751_y1651_class0.png,1.0,1.0,0.99999857,BreastHisto,BreastHisto,True,0.99999857
c:\Users\Ammad\Documents\Projects\Personal\Brain\data\processed\test\BreastHisto\9176_idx5_x1901_y1501_class0.png,1.0,1.0,0.9999714,BreastHisto,BreastHisto,True,0.9999714
c:\Users\Ammad\Documents\Projects\Personal\Brain\data\processed\test\BreastHisto\10306_idx5_x501_y1551_class1.png,1.0,1.0,0.9999974,BreastHisto,BreastHisto,True,0.9999974
c:\Users\Ammad\Documents\Projects\Personal\Brain\data\processed\test\BreastHisto\10259_idx5_x1351_y1901_class1.png,1.0,1.0,0.9999925,BreastHisto,BreastHisto,True,0.9999925
c:\Users\Ammad\Documents\Projects\Personal\Brain\data\processed\test\BreastHisto\9075_idx5_x2551_y1601_class0.png,1.0,1.0,0.99987054,BreastHisto,BreastHisto,True,0.99987054
c:\Users\Ammad\Documents\Projects\Personal\Brain\data\processed\test\BreastHisto\12242_idx5_x1601_y901_class1.png,1.0,1.0,0.9986272,BreastHisto,BreastHisto,True,0.9986272
c:\Users\Ammad\Documents\Projects\Personal\Brain\data\processed\test\MRI\pt-319.jpg,0.0,0.0,3.790942e-08,MRI,MRI,True,0.99999994
c:\Users\Ammad\Documents\Projects\Personal\Brain\data\processed\test\BreastHisto\12890_idx5_x1701_y701_class0.png,1.0,1.0,0.99999523,BreastHisto,BreastHisto,True,0.99999523
c:\Users\Ammad\Documents\Projects\Personal\Brain\data\processed\test\BreastHisto\8917_idx5_x1101_y1301_class0.png,1.0,1.0,0.9994178,BreastHisto,BreastHisto,True,0.9994178
c:\Users\Ammad\Documents\Projects\Personal\Brain\data\processed\test\MRI\gt-271.jpg,0.0,0.0,4.4248175e-10,MRI,MRI,True,1.0
c:\Users\Ammad\Documents\Projects\Personal\Brain\data\processed\test\BreastHisto\14211_idx5_x2851_y801_class0.png,1.0,1.0,0.999744,BreastHisto,BreastHisto,True,0.999744
c:\Users\Ammad\Documents\Projects\Personal\Brain\data\processed\test\MRI\nt-95.jpg,0.0,0.0,3.405151e-07,MRI,MRI,True,0.99999964
c:\Users\Ammad\Documents\Projects\Personal\Brain\data\processed\test\MRI\pt-377.jpg,0.0,0.0,2.232875e-10,MRI,MRI,True,1.0
c:\Users\Ammad\Documents\Projects\Personal\Brain\data\processed\test\MRI\nt-366.jpg,0.0,0.0,5.2139036e-08,MRI,MRI,True,0.99999994
c:\Users\Ammad\Documents\Projects\Personal\Brain\data\processed\test\BreastHisto\10285_idx5_x1551_y851_class0.png,1.0,1.0,0.9999883,BreastHisto,BreastHisto,True,0.9999883
c:\Users\Ammad\Documents\Projects\Personal\Brain\data\processed\test\BreastHisto\14213_idx5_x1701_y651_class1.png,1.0,1.0,0.9999113,BreastHisto,BreastHisto,True,0.9999113
c:\Users\Ammad\Documents\Projects\Personal\Brain\data\processed\test\BreastHisto\12868_idx5_x2451_y1601_class0.png,1.0,1.0,0.9999796,BreastHisto,BreastHisto,True,0.9999796
c:\Users\Ammad\Documents\Projects\Personal\Brain\data\processed\test\MRI\nt-219.jpg,0.0,0.0,6.009436e-08,MRI,MRI,True,0.99999994
c:\Users\Ammad\Documents\Projects\Personal\Brain\data\processed\test\BreastHisto\9250_idx5_x651_y1551_class1.png,1.0,1.0,0.99999845,BreastHisto,BreastHisto,True,0.99999845
